"snr","trials","success","any_missing","miss_x1_2x3","miss_x2_2x3","miss_x1_3x3","any_spurious","mean_spurious","active_terms","active_spurious"
"1",100,0,1,1,1,1,0.03,0.03,30.84,25.26
"2",100,0,1,1,1,1,0.04,0.04,30.91,25.27
"3",100,0,1,1,1,1,0.01,0.01,30.88,25.28
"4",100,0,1,1,1,1,0.01,0.01,32.07,26.37
"5",100,0,1,1,1,1,0.01,0.01,30.74,25.06
"6",100,0,1,1,1,1,0.01,0.01,32.16,26.35
"7",100,0,1,1,1,1,0,0,31.97,26.13
"8",100,0,1,1,1,1,0,0,32.36,26.46
"9",100,0,1,1,1,1,0,0,32.94,26.82
"10",100,0,1,1,1,1,0,0,31.1,25.1
"11",100,0,1,1,1,1,0.01,0.01,31.5,25.41
"12",100,0,1,1,1,1,0.08,0.08,35.42,29.02
"13",100,0,1,0.99,1,1,0.08,0.08,40.85,33.84
"14",100,0,1,1,1,1,0.02,0.02,45.43,38.03
"15",100,0,1,1,1,1,0.01,0.01,45.94,38.36
"16",100,0,1,1,1,1,0,0,48.66,40.89
"17",100,0,1,1,1,1,0.01,0.01,48.91,40.99
"18",100,0,1,1,1,1,0,0,48.84,40.91
"19",100,0,1,1,1,1,0,0,46.24,38.28
"20",100,0,1,1,1,1,0.01,0.01,46.37,38.4
"21",100,0,1,1,1,1,0.01,0.01,44.56,36.57
"22",100,0,1,1,1,1,0.01,0.01,43.09,35.1
"23",100,0,1,1,1,1,0.01,0.02,42.47,34.47
"24",100,0,1,1,1,1,0.01,0.01,39.67,31.67
"25",100,0,1,1,1,1,0.01,0.02,38.72,30.72
"26",100,0,1,1,1,1,0.01,0.01,37.28,29.31
"27",100,0,1,1,1,1,0.02,0.02,38.65,30.68
"28",100,0,1,1,1,1,0.03,0.03,38.43,30.47
"29",100,0,1,1,0.99,1,0.04,0.04,38.17,30.22
"30",100,0,1,1,0.99,0.96,0.04,0.04,39.29,31.32
"31",100,0,1,0.99,0.97,0.9,0.03,0.03,39.13,31.14
"32",100,0,1,0.97,0.97,0.86,0.03,0.03,39.52,31.52
"33",100,0,1,0.94,0.96,0.81,0.03,0.03,39.67,31.67
"34",100,0.01,0.99,0.92,0.96,0.7,0.02,0.02,39.9,31.9
"35",100,0.02,0.98,0.92,0.94,0.57,0.01,0.01,40.15,32.15
"36",100,0.04,0.96,0.9,0.89,0.53,0.02,0.02,39.42,31.42
"37",100,0.07,0.93,0.84,0.86,0.46,0.02,0.02,39.39,31.4
"38",100,0.07,0.93,0.82,0.83,0.45,0.01,0.02,39.56,31.57
"39",100,0.14,0.86,0.74,0.75,0.3,0.02,0.02,39.17,31.18
"40",100,0.2,0.8,0.67,0.68,0.29,0.03,0.04,38.53,30.55
"41",100,0.27,0.73,0.59,0.6,0.22,0.03,0.04,37.43,29.45
"42",100,0.28,0.72,0.53,0.55,0.2,0.05,0.08,35.96,27.98
"43",100,0.33,0.67,0.43,0.51,0.16,0.07,0.09,34.49,26.51
"44",100,0.38,0.62,0.38,0.47,0.16,0.06,0.1,32.95,24.98
"45",100,0.42,0.58,0.34,0.44,0.13,0.05,0.08,31.67,23.69
"46",100,0.49,0.51,0.32,0.38,0.13,0.04,0.08,30.04,22.06
"47",100,0.49,0.51,0.28,0.38,0.11,0.04,0.08,28.69,20.71
"48",100,0.5,0.5,0.24,0.38,0.09,0.03,0.07,27.9,19.92
"49",100,0.58,0.42,0.19,0.33,0.07,0.04,0.08,26.71,18.73
"50",100,0.58,0.42,0.19,0.33,0.06,0.04,0.08,25.88,17.9
"51",100,0.58,0.42,0.21,0.32,0.05,0.04,0.09,25.41,17.43
"52",100,0.59,0.41,0.21,0.31,0.04,0.03,0.07,24.77,16.79
"53",100,0.62,0.38,0.2,0.28,0.04,0.04,0.08,23.92,15.94
"54",100,0.64,0.36,0.17,0.29,0.03,0.03,0.07,23.29,15.31
"55",100,0.64,0.36,0.18,0.27,0.03,0.03,0.09,23.22,15.24
"56",100,0.62,0.38,0.17,0.3,0.03,0.02,0.04,23.23,15.25
"57",100,0.59,0.41,0.19,0.32,0.02,0.03,0.12,22.98,15
"58",100,0.57,0.43,0.17,0.34,0.03,0.04,0.29,22.9,14.94
"59",100,0.54,0.46,0.17,0.36,0.03,0.04,0.36,22.78,14.84
"60",100,0.57,0.43,0.14,0.36,0.03,0.05,0.38,22.41,14.47
"61",100,0.55,0.45,0.16,0.36,0.04,0.05,0.42,22.13,14.19
"Inf",100,0.3,0.36,0.18,0.29,0.04,0.55,1.68,23.8,15.87
