"sweep","value","trials","p_pass2_median","p_final_median","truth_in_pass2","success","n_spurious_pass2_mean","spurious_survival","frac_any_spurious_final","frac_any_missing_final"
"n",2,100,9,5,0,0,6.47,0.555293748965763,0.96,1
"n",2.1,100,9.5,5,0,0,7.98,0.54883611738503,0.88,1
"n",2.2,100,11,6,0,0,8.89,0.52420281209383,0.96,1
"n",2.3,100,13,6,0,0,10.59,0.469521857318135,0.96,1
"n",2.4,100,13.5,7,0,0,11.1,0.480309261170397,0.94,1
"n",2.5,100,15,7,0,0,11.53,0.466525238452638,0.93,1
"n",2.6,100,16,9,0.03,0,13.65,0.538451753035949,0.96,1
"n",2.7,100,18,9,0.07,0,15.25,0.479798004248006,0.95,1
"n",2.8,100,19,9,0.13,0.03,15.96,0.462764916046355,0.88,0.95
"n",2.9,100,19.5,9,0.2,0.04,15.54,0.422040915845172,0.89,0.94
"n",3,100,17,9,0.28,0.13,15.72,0.368317461386134,0.75,0.84
"n",3.1,100,20.5,8,0.33,0.22,15.82,0.303624950230794,0.69,0.72
"n",3.2,100,16,8,0.35,0.23,12.06,0.337130565435678,0.63,0.72
"n",3.3,100,15,8,0.43,0.26,11.57,0.298204099602488,0.59,0.63
"n",3.4,100,14,8,0.46,0.35,10.65,0.298562342542446,0.5,0.6
"n",3.5,100,16.5,8,0.52,0.4,11.84,0.31023299986287,0.53,0.54
"n",3.6,100,14,8,0.77,0.65,8.39,0.216369705068612,0.34,0.28
"n",3.7,100,11,8,0.84,0.76,5.9,0.20190373240333,0.24,0.16
"n",3.8,100,12,8,0.82,0.75,6.62,0.199145606166883,0.25,0.19
"n",3.9,100,13,8,0.74,0.59,7.6,0.357476224949811,0.41,0.27
"n",4,100,13,8,0.73,0.64,8.32,0.337923973096944,0.36,0.27
"n",4.1,100,15,8,0.69,0.64,10,0.339017483285487,0.36,0.31
"n",4.2,100,18,8,0.67,0.56,12.05,0.331466614702013,0.44,0.34
"n",4.3,100,17,8,0.66,0.57,12.63,0.330393432678604,0.43,0.34
"n",4.4,100,18,8,0.66,0.61,11.89,0.329063056208754,0.39,0.34
"n",4.5,100,19,8,0.67,0.63,13.02,0.310059035105365,0.37,0.33
"n",4.6,100,20,8,0.67,0.52,14.84,0.290190436048125,0.48,0.33
"n",4.7,100,20,8,0.62,0.54,14.27,0.35845084561253,0.46,0.38
"n",4.8,100,22.5,8,0.61,0.51,15.51,0.370444511484836,0.49,0.39
"n",4.9,100,23,8.5,0.61,0.5,16.44,0.374237881299339,0.5,0.39
"n",5,100,23,11,0.56,0.45,16.7,0.400624156739975,0.55,0.44
"snr",1,100,2,1,0,0,2.77,0.649075565239358,0.6,1
"snr",2,100,2.5,2,0,0,3.02,0.660816775816776,0.58,1
"snr",3,100,2.5,2,0,0,2.61,0.675967782217782,0.59,1
"snr",4,100,3,2,0,0,2.64,0.61192537621109,0.61,1
"snr",5,100,3,2.5,0,0,2.43,0.617524705801425,0.57,1
"snr",6,100,3,3,0,0,2.77,0.574623524623525,0.62,1
"snr",7,100,3,3,0,0,2.45,0.618070078070078,0.62,1
"snr",8,100,5,3,0,0,2.89,0.630570597331961,0.72,1
"snr",9,100,5,3,0,0,2.92,0.688208273208273,0.76,1
"snr",10,100,5,5,0,0,3.46,0.690996237804748,0.82,1
"snr",11,100,5,5,0,0,3.67,0.681973388859354,0.8,1
"snr",12,100,7,5,0,0,4.66,0.628458111037898,0.84,1
"snr",13,100,10,5.5,0.01,0,6.5,0.473270609258851,0.83,1
"snr",14,100,11,6,0.04,0.01,6.78,0.467505630481874,0.85,0.99
"snr",15,100,10,6,0.05,0,6.98,0.489591182530464,0.89,1
"snr",16,100,11,7,0.07,0.01,7.65,0.426183653651404,0.88,0.98
"snr",17,100,11,7,0.08,0.01,7.49,0.459518258976567,0.86,0.98
"snr",18,100,10,7,0.03,0.02,7.27,0.493569473572187,0.9,0.98
"snr",19,100,10,7,0.07,0.02,7.02,0.452809819667852,0.81,0.97
"snr",20,100,10,8,0.08,0.01,6.54,0.506719372893346,0.85,0.97
"snr",21,100,10,8,0.05,0.02,6.74,0.492910168316334,0.84,0.97
"snr",22,100,9,7,0.02,0.01,5.3,0.565072168368872,0.81,0.99
"snr",23,100,9,8,0.05,0.02,4.82,0.590635224492751,0.79,0.97
"snr",24,100,9,7,0.07,0.02,4.68,0.58585091991342,0.75,0.96
"snr",25,100,8.5,7,0.04,0.01,4.07,0.553269079405443,0.73,0.97
"snr",26,100,8.5,8,0.09,0.04,3.66,0.598347541915317,0.71,0.93
"snr",27,100,9,8,0.14,0.1,3.96,0.572737125756631,0.69,0.87
"snr",28,100,9,8,0.17,0.12,4.09,0.589458287199884,0.69,0.83
"snr",29,100,9,8,0.17,0.14,3.98,0.596486712751773,0.69,0.84
"snr",30,100,9.5,8,0.17,0.14,4.53,0.568544367512215,0.72,0.84
"snr",31,100,9,8,0.2,0.16,4.29,0.55029503176562,0.69,0.8
"snr",32,100,10,8,0.3,0.26,4.94,0.50646243649419,0.65,0.71
"snr",33,100,11,8,0.35,0.3,5.51,0.444887319470653,0.6,0.68
"snr",34,100,11.5,8,0.32,0.27,6.01,0.423582002847152,0.6,0.7
"snr",35,100,11.5,8,0.37,0.3,6.36,0.387981867541924,0.57,0.66
"snr",36,100,13,8,0.45,0.38,7.02,0.345114108783272,0.5,0.58
"snr",37,100,14,8,0.5,0.39,7.42,0.28913336646154,0.5,0.54
"snr",38,100,13,8,0.51,0.41,7.23,0.283410724285678,0.47,0.52
"snr",39,100,15,8.5,0.55,0.38,7.95,0.289071623626444,0.54,0.49
"snr",40,100,15,9,0.63,0.42,8.44,0.284780755903598,0.57,0.39
"snr",41,100,15,8,0.67,0.47,8.25,0.278724467287896,0.49,0.36
"snr",42,100,15,8,0.68,0.49,7.85,0.294607525586104,0.5,0.33
"snr",43,100,15,8,0.71,0.52,7.64,0.300434893134242,0.48,0.3
"snr",44,100,14,8,0.7,0.5,7.62,0.308769348358134,0.5,0.3
"snr",45,100,14,8.5,0.74,0.5,7.46,0.320066933312137,0.5,0.26
"snr",46,100,14,8,0.76,0.55,7.45,0.281348508855859,0.45,0.26
"snr",47,100,14,8,0.79,0.56,7.36,0.272242988518566,0.44,0.22
"snr",48,100,14,8,0.78,0.61,7.5,0.265593353513321,0.39,0.24
"snr",49,100,12.5,8,0.81,0.65,7.08,0.251769285081907,0.35,0.2
"snr",50,100,13,8,0.8,0.63,7.34,0.284193136396591,0.37,0.21
"snr",51,100,12,8,0.81,0.65,7.28,0.263270369246111,0.35,0.2
"snr",52,100,12,8,0.83,0.66,7.52,0.254908084476822,0.34,0.17
"snr",53,100,12,8,0.85,0.67,7.55,0.268841716667628,0.33,0.15
"snr",54,100,11.5,8,0.89,0.71,7.5,0.221578117468528,0.29,0.11
"snr",55,100,12,8,0.88,0.72,8.01,0.222345541805239,0.28,0.12
"snr",56,100,11.5,8,0.86,0.73,7.31,0.232509187822296,0.27,0.14
"snr",57,100,12,8,0.85,0.75,7.33,0.22145196829545,0.25,0.15
"snr",58,100,12,8,0.85,0.74,7.23,0.220793633118259,0.26,0.15
"snr",59,100,12,8,0.83,0.72,7.59,0.238798423412706,0.28,0.17
"snr",60,100,13.5,8,0.82,0.69,8.05,0.255026618924856,0.31,0.18
"snr",61,100,13,8,0.78,0.71,7.79,0.31564832400822,0.29,0.22
"snr",Inf,100,26,23.5,0.69,0,19.79,0.866532325827297,1,0.31
