"sweep","value","trial","pass2","final"
"n",2,1,"(Intercept)|x1^2x3^2|x1x3^3|x3^4","(Intercept)|x1^2x3^2|x1x3^3|x3^4"
"n",2,2,"(Intercept)|x3^2|x1^2x3|x1x2x3|x1x3^2|x2x3^2|x3^3|x1x2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x1^2x2x3^2|x1x2^2x3^2|x1x2x3^3","(Intercept)|x3^2|x1x3^3|x1^2x2x3^2"
"n",2,3,"(Intercept)|x3^2|x2x3^2|x3^3|x1^2x2x3|x1x2^2x3|x1x2x3^2|x2^2x3^2|x2x3^3|x3^4|x1x2^2x3^2|x1x2x3^3|x2^2x3^3|x2x3^4","(Intercept)|x1^2x2x3"
"n",2,4,"(Intercept)|x1x2^2|x1^2x3|x2^2x3|x1^2x2^2|x1x2x3^2|x2x3^3|x2^2x3^3","(Intercept)|x1x2^2|x1^2x3|x2^2x3|x1x2x3^2|x2x3^3|x2^2x3^3"
"n",2,5,"(Intercept)|x1x2|x3^2|x1x2^2|x1^2x3|x1x2x3|x2^2x3|x1x3^2|x2x3^2|x3^3|x1^2x2x3|x1x2^2x3|x1x2x3^2|x1x3^3|x2x3^3|x3^4","(Intercept)|x1^2x2x3"
"n",2,6,"(Intercept)|x2x3|x3^2|x2^2x3|x1x3^2|x2x3^2|x3^3|x2^3x3|x1x2x3^2|x1x3^3|x2x3^3|x3^4|x2^3x3^2|x1^2x3^3|x2x3^4","(Intercept)|x3^2|x2x3^3|x2^3x3^2|x1^2x3^3"
"n",2,7,"(Intercept)|x3|x1x3|x2x3|x3^2|x1^2x3|x2x3^2|x3^3|x1^3x3|x1^2x3^2|x1x2x3^2|x2x3^3|x2x3^4|x3^5","x1^3x3|x1x2x3^2"
"n",2,8,"(Intercept)|x1x3|x2x3|x3^2|x1x3^2|x2x3^2|x3^3|x2^3x3|x1x2x3^2|x2^2x3^2","(Intercept)|x1x3|x2x3|x1x2x3^2"
"n",2,9,"(Intercept)|x1x3|x3^2|x1^2x2^2|x1x2^2x3|x1x3^3|x1^2x2^2x3|x1^2x3^3","(Intercept)|x1x3|x3^2|x1^2x2^2|x1x2^2x3|x1x3^3|x1^2x2^2x3"
"n",2,10,"(Intercept)|x2x3|x3^2|x1x2x3|x2x3^2|x3^3|x1^2x3^2|x1x3^3|x2x3^3","(Intercept)|x3^2|x3^3|x1^2x3^2"
"n",2,11,"(Intercept)|x3^2|x2^2x3|x1x3^2|x2x3^2|x3^3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x1x2^2x3^2|x1x2x3^3","(Intercept)|x2^2x3|x2x3^2|x1^2x3^2|x1x2^2x3^2"
"n",2,12,"(Intercept)|x1^2|x2^2|x2x3|x2^3|x1x2x3|x2^2x3|x1x3^2|x2x3^3|x1^3x2x3","(Intercept)|x2^3|x1x2x3|x1x3^2|x1^3x2x3"
"n",2,13,"(Intercept)|x1^2x2|x2^3|x1^2x3|x2^2x3|x1x3^2|x2x3^3","(Intercept)|x1^2x2|x2^3|x2^2x3|x1x3^2|x2x3^3"
"n",2,14,"(Intercept)|x1^2|x1x2|x3^2|x2^2x3|x2x3^2|x1^2x2^2|x1x2^2x3|x1^2x3^2","(Intercept)|x1^2|x1x2|x3^2|x2^2x3|x2x3^2|x1^2x2^2|x1x2^2x3|x1^2x3^2"
"n",2,15,"(Intercept)|x1x3|x3^2|x2^2x3|x3^3|x1^2x2x3|x1^2x3^2|x3^4|x3^5","(Intercept)|x1x3|x3^2|x2^2x3|x3^3|x3^4|x3^5"
"n",2,16,"(Intercept)|x1|x1x3|x1x2x3|x2^2x3|x1x3^2|x3^3|x1x2^2x3|x1x3^3","(Intercept)|x1|x1x2^2x3"
"n",2,17,"(Intercept)|x3^2|x1^2x3|x1x2x3|x1x3^2|x3^3|x1^2x3^2|x1x3^3|x2x3^3|x1^3x3^2","(Intercept)|x1^3x3^2"
"n",2,18,"(Intercept)|x1^2|x3^2|x1^2x3|x1x3^2|x2x3^2","(Intercept)|x1^2|x3^2|x1x3^2|x2x3^2"
"n",2,19,"(Intercept)|x3^3|x1x3^3|x2x3^3","(Intercept)|x3^3|x1x3^3|x2x3^3"
"n",2,20,"(Intercept)|x3^2|x1x3^2|x2x3^2|x3^3|x1x2^2x3|x1x2x3^2|x2^2x3^2|x1x3^3|x3^4|x1x2^2x3^2|x1^2x3^3","(Intercept)|x3^2|x1x2^2x3|x1x2^2x3^2"
"n",2,21,"(Intercept)|x2|x1x2|x1x3|x2x3|x2^2x3|x1x3^2|x2x3^2|x1^2x2x3|x1x2^2x3","(Intercept)|x1x2^2x3"
"n",2,22,"(Intercept)|x2x3^2|x3^3|x1^2x2x3|x1x2x3^2|x2^2x3^2|x3^4|x1^3x2^2|x1^2x2^2x3","(Intercept)|x2x3^2|x1^2x2x3|x1x2x3^2|x1^3x2^2|x1^2x2^2x3"
"n",2,23,"(Intercept)|x2^2x3|x2x3^2|x1^3x2|x1x3^3|x2x3^3|x1^5|x1^3x2^2|x1^4x3|x1^2x2^2x3|x2^4x3","(Intercept)|x1^4x3"
"n",2,24,"(Intercept)|x2x3^2|x3^3|x1^2x2x3|x1^2x3^2|x2^2x3^2|x3^4|x1^4x3|x1^2x2^2x3|x1x2^3x3|x1^2x2x3^2|x1x2^2x3^2|x2^3x3^2|x1^2x3^3|x1x2x3^3|x2^2x3^3|x1x3^4|x2x3^4|x3^5","(Intercept)|x1^4x3|x1^2x2^2x3|x1x2^3x3|x1x2^2x3^2|x2^3x3^2|x1x2x3^3"
"n",2,25,"(Intercept)|x3^2|x2^2x3|x2x3^2|x1^2x2x3|x1^2x3^2|x1x3^3|x1^3x2x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x1^2x3^3","(Intercept)|x1^2x3^2|x1^3x2x3|x1^3x3^2|x1^2x2x3^2"
"n",2,26,"(Intercept)|x3|x2x3|x1^3|x1x3^2|x1^2x3^2","(Intercept)|x3|x2x3|x1^3|x1x3^2|x1^2x3^2"
"n",2,27,"(Intercept)|x1x3|x1x2x3|x3^3","(Intercept)|x1x3|x1x2x3|x3^3"
"n",2,28,"(Intercept)|x2|x3|x1^2|x1^2x2|x1x2^2|x1x2x3","(Intercept)|x3|x1^2|x1^2x2|x1x2x3"
"n",2,29,"(Intercept)|x1|x2|x3|x1x3|x2x3|x1^2x3|x1^2x2^2","x1|x2|x1x3|x1^2x2^2"
"n",2,30,"(Intercept)|x1|x1x3|x2x3|x1^2x2|x1^2x3|x1x2x3|x1x3^2|x2x3^2|x1^3x3|x1^2x3^2","(Intercept)"
"n",2,31,"(Intercept)|x2^2|x2x3|x3^2|x2^2x3|x3^3|x1x2^2x3|x2x3^3|x1^2x2^2x3","(Intercept)|x2^2|x2x3|x2^2x3|x3^3|x2x3^3"
"n",2,32,"(Intercept)|x1^2x3|x2^2x3|x1x3^2|x3^3|x1x2x3^2|x2x3^3|x3^4|x1x2^2x3^2","(Intercept)|x1^2x3|x2^2x3|x1x2^2x3^2"
"n",2,33,"(Intercept)|x1x3|x3^2|x1x3^2|x2x3^2|x3^3|x2x3^3","(Intercept)|x1x3|x3^2|x1x3^2|x2x3^2|x2x3^3"
"n",2,34,"(Intercept)|x1^2x3|x1x2x3|x2x3^2|x3^3|x1x2x3^2|x3^4|x1x2^2x3^2|x1^2x3^3|x2^2x3^3|x2x3^4|x3^5","(Intercept)|x1^2x3|x1x2x3|x2x3^2|x3^3|x1^2x3^3|x2^2x3^3|x2x3^4|x3^5"
"n",2,35,"(Intercept)|x2x3|x3^2|x1x2x3|x3^3|x2^2x3^3","(Intercept)|x2x3|x3^2|x1x2x3|x3^3|x2^2x3^3"
"n",2,36,"(Intercept)|x2^2|x1^2x2|x2^2x3|x1x3^2|x2x3^2|x1^2x2^2|x1^2x2x3|x1x2^2x3|x1x2x3^2|x2^2x3^2|x2x3^3|x1^2x2^2x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x1x2x3^3","x1x3^2|x2x3^2|x1^3x3^2|x1^2x2x3^2"
