"snr","argos-alasso","bayesian-alasso-ro","pysindy"
"1",0,0,0
"2",0,0,0
"3",0,0,0
"4",0,0,0
"5",0,0,0
"6",0,0,0
"7",0,0,0
"8",0,0,0
"9",0,0,0
"10",0,0,0
"11",0,0,0
"12",0,0,0
"13",0,0,0
"14",0,0,0
"15",0,0,0
"16",0,0,0
"17",0,0,0
"18",0,0.01,0
"19",0,0.01,0
"20",0,0,0
"21",0,0.01,0
"22",0,0.01,0
"23",0,0.02,0
"24",0,0.02,0
"25",0,0.01,0
"26",0,0.04,0
"27",0,0.1,0
"28",0,0.12,0.01
"29",0,0.14,0.01
"30",0,0.14,0.03
"31",0,0.16,0.06
"32",0,0.26,0.05
"33",0,0.3,0.05
"34",0.01,0.27,0.1
"35",0.02,0.3,0.14
"36",0.04,0.38,0.16
"37",0.07,0.39,0.15
"38",0.07,0.41,0.17
"39",0.14,0.38,0.18
"40",0.2,0.42,0.19
"41",0.27,0.47,0.18
"42",0.28,0.49,0.2
"43",0.33,0.52,0.21
"44",0.38,0.5,0.22
"45",0.42,0.5,0.22
"46",0.49,0.55,0.22
"47",0.49,0.56,0.23
"48",0.5,0.61,0.24
"49",0.58,0.65,0.25
"50",0.58,0.63,0.25
"51",0.58,0.65,0.24
"52",0.59,0.66,0.24
"53",0.62,0.67,0.24
"54",0.64,0.71,0.24
"55",0.64,0.72,0.23
"56",0.62,0.73,0.21
"57",0.59,0.75,0.2
"58",0.57,0.74,0.21
"59",0.54,0.72,0.21
"60",0.57,0.69,0.2
"61",0.55,0.71,0.21
"Inf",0.18,0,0.13
