"trial","log10n","n","snr","selected","selected_intercept","final","final_intercept","success","int_mean","int_lo","int_hi","ols_int_true_support","ols_int_se","mean_d","sd_d","mean_g","sd_g","ols_int_clean_library","ols_int_clean_library_se","sigma","n_k_gt_0.7","n_k_gt_0.5","k_max","frac_k_gt_0.7","flagged_t_min","flagged_t_max","flagged_clusters","recorded_clusters","refit_without_flagged_int_kept","refit_without_flagged_int_mean","t_stan_s","t_loo_s"
1,4,10000,49,"x1;x2;x2 x3",FALSE,"x1;x2;x2 x3",FALSE,TRUE,NA,NA,NA,0.00174285014235067,0.00294904086626737,-4.4276469058386e-05,0.287054913233624,-0.000411859427049216,0.0385670957860382,0.00204043886194324,0.00297314230526984,0.279997433444335,0,0,0.460322224926192,0,NA,NA,0,0,NA,NA,2.35116529464722,13.304728269577
2,4,10000,49,"x1;x2;x2 x3",FALSE,"x1;x2;x2 x3",FALSE,TRUE,NA,NA,NA,0.00201343700223643,0.00270287363310422,4.25278432392941e-05,0.252072388985501,0.000856663239128926,0.0381164332096051,0.00113533007083961,0.00269615024550566,0.24966263333071,0,0,0.381868447414486,0,NA,NA,0,0,NA,NA,2.36020946502686,14.2671387195587
3,4,10000,49,"x1;x2;x2 x3",FALSE,"x1;x2;x2 x3",FALSE,TRUE,NA,NA,NA,0.00904265462312856,0.00491238600645476,2.72847434006506e-05,0.516075571062777,-0.000413784568384672,0.0480653138128147,0.00940902243473056,0.00508774869163796,0.478406814822012,6,10,4.14787398172214,6e-04,26.53,26.59,1,1,NA,NA,2.27128267288208,13.1418783664703
4,4,10000,49,"x1;x2;x2 x3",FALSE,"x1;x2;x2 x3",FALSE,TRUE,NA,NA,NA,0.00629088835782681,0.00366517519887971,0.000284883203794241,0.364559983142683,0.000205316974468123,0.0392682277730181,0.00559415804100131,0.00371496628266739,0.34910349843103,8,9,1.08978847558053,8e-04,13.03,66.09,2,2,NA,NA,2.32110595703125,15.3137428760529
5,4,10000,49,"x1;x2;x2 x3",FALSE,"x1;x2;x2 x3",FALSE,TRUE,NA,NA,NA,0.00636508924810855,0.00405465418443655,-6.43789538880535e-05,0.41775137350563,0.00029664817146126,0.0397283440656345,0.00635116287710454,0.00414117378476966,0.392947866551924,0,3,0.640456237243372,0,NA,NA,0,1,NA,NA,2.24902486801147,13.3480226993561
6,4,10000,49,"x1;x2;x2 x3",FALSE,"x1;x2;x2 x3",FALSE,TRUE,NA,NA,NA,0.0101487110488011,0.00803623521131986,0.000235275463165991,0.860191950464045,-0.000178827918199885,0.0893359925239694,0.0101172200680301,0.00851491781872315,0.766099529287747,9,10,4.28958666788421,9e-04,85.91,86.01,1,1,NA,NA,2.18989610671997,13.3910765647888
7,4,10000,49,"x1;x2;x2 x3",FALSE,"x1;x2;x2 x3",FALSE,TRUE,NA,NA,NA,0.00323344028545398,0.00409754085858023,-0.000295393452253982,0.412543748704174,0.000560231376036882,0.0434474758664625,0.00290712218104167,0.00422956519614644,0.387924536441067,5,6,1.97174132436411,5e-04,51.41,51.47,1,1,NA,NA,2.32967257499695,14.0283024311066
8,4,10000,49,"x1;x2;x2 x3",FALSE,"x1;x2;x2 x3",FALSE,TRUE,NA,NA,NA,0.00227215409091537,0.0037417533233575,-9.91909464569547e-06,0.355682013590322,-0.000113569498397333,0.0413581845306809,0.00188883997264883,0.00378272775992823,0.343319875926204,5,6,1.83105986955425,5e-04,56.92,56.98,1,1,NA,NA,2.27446699142456,14.0181124210358
9,4,10000,49,"x1;x2;x2 x3",FALSE,"x1;x2;x2 x3",FALSE,TRUE,NA,NA,NA,0.00685615051592932,0.00447216212473867,-0.000499712905711405,0.462749458196648,0.000287004939809691,0.0439140110313372,0.00690665496502848,0.00460039764972498,0.432828180669385,6,8,1.82588983577573,6e-04,40.39,40.46,1,1,NA,NA,2.32977962493896,14.0171420574188
10,4,10000,49,"x1;x2;x2 x3",FALSE,"x1;x2;x2 x3",FALSE,TRUE,NA,NA,NA,0.0045668923340182,0.00430948394511516,-9.10256097862839e-05,0.450125827499777,-0.000371605640725979,0.0453440567080018,0.00542354012310627,0.00445080120406989,0.419441615140633,6,7,2.37274845308427,6e-04,50.33,50.4,1,2,NA,NA,2.24272274971008,13.4950301647186
11,4,10000,49,"x1;x2;x2 x3",FALSE,"x1;x2;x2 x3",FALSE,TRUE,NA,NA,NA,0.00146381866900237,0.00283293315393018,3.02451835766534e-06,0.280670803408538,0.000497495786910851,0.036295657633376,0.00138667283483366,0.00286007584932432,0.272512650948712,1,2,0.708379073134132,1e-04,28.62,28.62,1,1,NA,NA,3.55726170539856,18.0204384326935
