"log10n","n","n_intercept","n_positive","int_median","int_min","int_max","sigma_median","halfwidth_90","bic_gain_over_penalty"
4,10000,2,2,0.0723422969411828,0.0597007164876907,0.0849838773946749,0.335267164165209,0.00551514485051768,52.094300591525
4.1,12589,1,1,0.0197331022157006,0.0197331022157006,0.0197331022157006,0.35286896271667,0.00517349157679675,4.17019560350408
4.2,15849,0,0,NA,NA,NA,0.35408539628255,0.00462671752034701,NA
4.3,19953,0,0,NA,NA,NA,0.367837356918504,0.00428368605313998,NA
4.4,25119,0,0,NA,NA,NA,0.356743077735507,0.00370271498859139,NA
4.5,31623,0,0,NA,NA,NA,0.358812537240288,0.00331918896180173,NA
4.6,39811,1,1,0.0114012572354851,0.0114012572354851,0.0114012572354851,0.363345802691765,0.00299560472294985,3.70079022404398
4.7,50119,3,3,0.0102408702697265,0.00612476235383428,0.0130039611672334,0.390907606482789,0.00287235970086043,3.17844071787552
4.8,63096,11,11,0.00641043223448122,0.00493897656048496,0.0103136352844469,0.388880456193581,0.00254671945452205,1.55126905224368
4.9,79433,14,14,0.00586349029594216,0.00461036060800572,0.00978873115787542,0.392748986318515,0.00229234770559017,1.56918110631722
5,1e+05,30,30,0.00527130364766632,0.00377865308460244,0.00974045514510564,0.392352113565427,0.00204099480240063,1.56782803637115
