"trial","log10n","n","design","kappa","vif_max","vif_median"
0,2,100,"full",27791417544854980,1e+16,1e+16
0,2,100,"truth",15482.047521041,5087293.63839057,967176.093186121
0,2.2,158,"full",2466545714431792,1e+16,1e+16
0,2.2,158,"truth",431.973532650606,4708.69914391485,1198.71984059974
0,2.4,251,"full",38114140321517.7,1e+16,1e+16
0,2.4,251,"truth",143.367969295802,284.048021965588,136.990183955449
0,2.6,398,"full",316119430577.426,1e+16,9007199254740992
0,2.6,398,"truth",60.7550647106274,59.7347908332578,27.5366459517639
0,2.8,631,"full",515750485.33246,4503599627370496,22803036087951.9
0,2.8,631,"truth",32.1108903110732,25.0439585744972,14.1874920822548
0,3,1000,"full",927033.793643509,19440935472.5897,28956125.9000223
0,3,1000,"truth",22.618083079106,12.9940575126804,8.50309569439383
0,3.2,1585,"full",5211.90637980199,864572.745732189,943.516287705793
0,3.2,1585,"truth",12.6250324837867,7.47169838057012,4.90099467026464
0,3.4,2512,"full",1438.34130481872,74449.2799164178,233.252775972451
0,3.4,2512,"truth",10.7152315417229,7.06434346493313,3.99675190956675
0,3.6,3981,"full",1225.78305867475,56087.1500147373,136.172735088032
0,3.6,3981,"truth",10.33774741463,7.31032076331783,3.69956216031322
0,3.8,6310,"full",1636.51240776839,84043.4611833718,199.275371499563
0,3.8,6310,"truth",10.6606509313517,7.85110972235348,3.53986393033246
0,4,10000,"full",2082.79982481619,125722.739015829,279.944109217697
0,4,10000,"truth",10.7880099242117,8.21531679367413,3.61530791870537
0,4.2,15849,"full",2629.16438537481,189715.990487695,422.351057381064
0,4.2,15849,"truth",10.962628307781,8.49728375500549,3.80737757961534
0,4.4,25119,"full",3356.77876035853,294589.708067454,684.147387419526
0,4.4,25119,"truth",11.287718275628,8.85408672594647,4.00386870449186
0,4.6,39811,"full",4220.85189258095,457975.575472548,1076.66072937879
0,4.6,39811,"truth",11.4931611007371,9.1166013643349,4.08238711705024
0,4.8,63096,"full",5319.40520337074,717203.989870287,1620.36330443055
0,4.8,63096,"truth",11.6919084662383,9.32699792874514,4.17320911317297
0,5,1e+05,"full",6717.64667229016,1130410.06056435,2461.75681767006
0,5,1e+05,"truth",11.8795762553944,9.49222174667959,4.25771076263265
1,2,100,"full",14850978009598936,1e+16,1e+16
1,2,100,"truth",13080.3539299925,6180961.11870039,335528.429740045
1,2.2,158,"full",1082330654395194,1e+16,1e+16
1,2.2,158,"truth",1993.32625209992,156810.463291943,12183.3800703309
1,2.4,251,"full",42968011442533.3,1e+16,1e+16
1,2.4,251,"truth",1933.95670911733,118848.976733464,13699.8328840575
1,2.6,398,"full",1296870872000.32,1e+16,1e+16
1,2.6,398,"truth",380.723100089978,3364.68341650133,421.365971004608
1,2.8,631,"full",70666734920.4484,1e+16,1e+16
1,2.8,631,"truth",12.4135835802696,14.1635189583267,9.56610733233023
1,3,1000,"full",4570568531.98382,1e+16,818836295885545
1,3,1000,"truth",10.7361945767796,14.1364613137828,9.77792514142404
1,3.2,1585,"full",111768.582625928,153204614.392006,12707928.176194
1,3.2,1585,"truth",11.3262667418401,14.2281727409333,2.16135217965654
1,3.4,2512,"full",632.942568294319,15330.5013850024,766.336654568806
1,3.4,2512,"truth",9.17256584234941,8.53735233727084,2.55705963679184
1,3.6,3981,"full",648.533043841435,16802.928892037,612.852229249467
1,3.6,3981,"truth",8.50512460098724,7.17400968938489,2.82070137533676
1,3.8,6310,"full",784.397446112704,21072.8964567494,965.754861869504
1,3.8,6310,"truth",9.08004993899943,7.25075443849833,3.34440165209855
1,4,10000,"full",909.772218227872,27472.450243515,1436.98506471328
1,4,10000,"truth",9.43231857476067,7.41880407591993,3.46806483474833
1,4.2,15849,"full",1085.99479619789,37002.4312670737,2232.03891817814
1,4.2,15849,"truth",9.88965625672078,7.71927992662963,3.71375551020338
1,4.4,25119,"full",1349.08959316573,52639.8849107262,3459.43783883085
1,4.4,25119,"truth",10.4759374673135,8.19462528786122,3.91371859505865
1,4.6,39811,"full",1684.34693741318,76845.4476561636,5268.03774910564
1,4.6,39811,"truth",10.9157639349876,8.59821240176278,4.05675963262245
1,4.8,63096,"full",2108.25279020447,115237.72484926,7692.60763112918
1,4.8,63096,"truth",11.2812477063149,8.94242504713864,4.16125844448444
1,5,1e+05,"full",2646.12964193891,178815.396391426,11217.8689170567
1,5,1e+05,"truth",11.5943409060807,9.21700010036094,4.25096776966665
2,2,100,"full",18704873374499976,1e+16,1e+16
2,2,100,"truth",7538.2908544564,1952882.87068171,29396.4538683327
2,2.2,158,"full",572169206663629,1e+16,1e+16
2,2.2,158,"truth",177.618572858074,2641.79350917824,169.33191036473
2,2.4,251,"full",3400974895941.47,1e+16,1e+16
2,2.4,251,"truth",65.9351459054298,427.310780336307,22.5688984047219
2,2.6,398,"full",218597425702.251,1e+16,1e+16
2,2.6,398,"truth",19.5508030236486,27.546015760479,12.5136830710039
2,2.8,631,"full",444206893.101109,4503599627370496,3726602918800.58
2,2.8,631,"truth",12.2784511984034,9.41225189929273,5.10646437710105
2,3,1000,"full",713747.891532207,9281935256.39503,89282625.2157004
2,3,1000,"truth",13.9532553181611,9.87542486741679,5.23370351067453
2,3.2,1585,"full",4908.0352658797,695598.381616603,1733.37184151135
2,3.2,1585,"truth",10.7898180633082,7.93694888897087,3.76868874072014
2,3.4,2512,"full",2367.2754590162,171967.404160925,456.223509818443
2,3.4,2512,"truth",10.3459422529726,7.96969468214967,3.4118334041748
2,3.6,3981,"full",2624.0318309638,197329.212796751,643.372712906928
2,3.6,3981,"truth",10.5916030208024,8.48561192563014,3.52758187836915
2,3.8,6310,"full",3308.90855312604,296544.519811291,922.786932110608
2,3.8,6310,"truth",11.0149986348204,8.70546869879263,3.76178402097217
2,4,10000,"full",4079.40191137634,434905.801700212,1335.80360251986
2,4,10000,"truth",11.1690144762441,8.84686523814872,3.92837142253099
2,4.2,15849,"full",5126.72222875706,673453.715364269,2014.80554517728
2,4.2,15849,"truth",11.47261756197,9.19695469465432,4.05698843715761
2,4.4,25119,"full",6450.12984719768,1049585.705716,3057.81856089065
2,4.4,25119,"truth",11.7009769861761,9.3631958516088,4.16549163783334
2,4.6,39811,"full",8128.05245308543,1647112.31071642,4759.33529693324
2,4.6,39811,"truth",11.9139725356216,9.54503295990443,4.27056282264543
