"trial","sweep","log10n","n","snr","design","p","kappa","vif_max","vif_median","n_vif_gt10"
0,"n",5,1e+05,49,"full",55,6679.65647419088,1118072.0578165,2449.56161990713,55
0,"n",5,1e+05,49,"trimmed",55,6679.65647419088,1118072.0578165,2449.56161990713,55
0,"n",5,1e+05,49,"truth",7,11.878571671584,9.49114694273939,4.25714783819901,0
0,"n",5,1e+05,49,"selected",14,489.436601360459,14745.1938960885,44.2416297798084,12
1,"n",5,1e+05,49,"full",55,2508.790953501,175051.770137166,10793.3436506774,55
1,"n",5,1e+05,49,"trimmed",55,2508.790953501,175051.770137166,10793.3436506774,55
1,"n",5,1e+05,49,"truth",7,11.5942917039192,9.21677739895227,4.25041783875063,0
1,"n",5,1e+05,49,"selected",43,1786.41181148976,127720.133747602,1530.6441736899,43
2,"n",5,1e+05,49,"full",55,12702.0703273602,4003894.61675462,10840.591949798,55
2,"n",5,1e+05,49,"trimmed",55,12702.0703273602,4003894.61675462,10840.591949798,55
2,"n",5,1e+05,49,"truth",7,12.0861632945241,9.70922723653002,4.3241999614988,0
2,"n",5,1e+05,49,"selected",25,1316.04242822832,90829.8060908476,222.928564128467,25
3,"n",5,1e+05,49,"full",55,5991.6364867945,1010664.7614672,8162.09818523644,55
3,"n",5,1e+05,49,"trimmed",55,5991.6364867945,1010664.7614672,8162.09818523644,55
3,"n",5,1e+05,49,"truth",7,11.9889628261533,9.58455680991189,4.30658392374165,0
3,"n",5,1e+05,49,"selected",33,688.493454032226,16986.6153366,799.03547550351,33
4,"n",5,1e+05,49,"full",55,12731.7494326786,3999282.44627092,15279.0084609564,55
4,"n",5,1e+05,49,"trimmed",55,12731.7494326786,3999282.44627092,15279.0084609564,55
4,"n",5,1e+05,49,"truth",7,12.0656029941293,9.67647870953802,4.31760167272218,0
4,"n",5,1e+05,49,"selected",12,161.332982914727,1487.59619690571,124.754788452486,10
5,"n",5,1e+05,49,"full",55,9593.95935716605,2421031.26583958,15242.7391021283,55
5,"n",5,1e+05,49,"trimmed",55,9593.95935716605,2421031.26583958,15242.7391021283,55
5,"n",5,1e+05,49,"truth",7,12.0172960989416,9.67465000238725,4.29625442707939,0
5,"n",5,1e+05,49,"selected",24,898.80071594542,39192.8798685505,570.680468852553,23
6,"n",5,1e+05,49,"full",55,9583.23537308859,2218003.34918656,2217.09194909346,55
6,"n",5,1e+05,49,"trimmed",55,9583.23537308859,2218003.34918656,2217.09194909346,55
6,"n",5,1e+05,49,"truth",7,11.7184903493987,9.24647847087412,4.22951650075462,0
6,"n",5,1e+05,49,"selected",16,543.295291048297,16231.4164195036,50.3888654744479,15
7,"n",5,1e+05,49,"full",55,5752.53539738974,831417.499817731,2408.16125714642,55
7,"n",5,1e+05,49,"trimmed",55,5752.53539738974,831417.499817731,2408.16125714642,55
7,"n",5,1e+05,49,"truth",7,11.7100470858742,9.39372878957427,4.15935982428422,0
7,"n",5,1e+05,49,"selected",31,999.315634242926,39008.4786019908,576.850238229278,31
8,"n",5,1e+05,49,"full",55,8853.77015332558,2063368.59783958,16398.6507814835,55
8,"n",5,1e+05,49,"trimmed",55,8853.77015332558,2063368.59783958,16398.6507814835,55
8,"n",5,1e+05,49,"truth",7,11.9726583628815,9.63628811940075,4.25385219911023,0
8,"n",5,1e+05,49,"selected",23,791.523040296336,27317.0385640383,492.608380043647,21
9,"n",5,1e+05,49,"full",55,1971.60090229127,101295.643422645,5566.03266522908,55
9,"n",5,1e+05,49,"trimmed",55,1971.60090229127,101295.643422645,5566.03266522908,55
9,"n",5,1e+05,49,"truth",7,11.4878694311503,9.11102132977576,4.18523363515673,0
9,"n",5,1e+05,49,"selected",34,609.47646493915,18265.899739059,418.087790573368,34
0,"n",4.8,63096,49,"full",55,5294.20002777779,710688.534302057,1616.79934513754,55
0,"n",4.8,63096,49,"trimmed",55,5294.20002777779,710688.534302057,1616.79934513754,55
0,"n",4.8,63096,49,"truth",7,11.6912486764818,9.32602359443358,4.17287833915356,0
0,"n",4.8,63096,49,"selected",13,436.77545514435,12216.8488933849,33.2981598777384,9
1,"n",4.8,63096,49,"full",55,2026.76683036993,114580.797026736,7495.07025412102,55
1,"n",4.8,63096,49,"trimmed",55,2026.76683036993,114580.797026736,7495.07025412102,55
1,"n",4.8,63096,49,"truth",7,11.2808545700563,8.94198871672029,4.16077133149654,0
1,"n",4.8,63096,49,"selected",42,1421.0390101608,83362.5017174,717.853546258512,42
2,"n",4.8,63096,49,"full",55,10132.1072723421,2553988.22752622,7252.2731050797,55
2,"n",4.8,63096,49,"trimmed",55,10132.1072723421,2553988.22752622,7252.2731050797,55
2,"n",4.8,63096,49,"truth",7,12.0082249408014,9.64895770253517,4.28930087627795,0
2,"n",4.8,63096,49,"selected",19,763.589529046245,35447.2946618605,66.1634085003501,18
3,"n",4.8,63096,49,"full",55,4800.9285781588,654183.759087119,5345.44655746143,55
3,"n",4.8,63096,49,"trimmed",55,4800.9285781588,654183.759087119,5345.44655746143,55
3,"n",4.8,63096,49,"truth",7,11.8294021386871,9.44654734471942,4.25011803411906,0
3,"n",4.8,63096,49,"selected",30,367.818531460629,5944.51451022411,379.747403298909,30
4,"n",4.8,63096,49,"full",55,10182.7645636881,2565360.0115712,9837.93004825753,55
4,"n",4.8,63096,49,"trimmed",55,10182.7645636881,2565360.0115712,9837.93004825753,55
4,"n",4.8,63096,49,"truth",7,12.0032771430447,9.61916992432716,4.2860808067777,0
4,"n",4.8,63096,49,"selected",12,155.354626994795,1400.68816779245,108.655699280999,10
5,"n",4.8,63096,49,"full",55,7668.52366689799,1551917.1332098,10398.8466505783,55
5,"n",4.8,63096,49,"trimmed",55,7668.52366689799,1551917.1332098,10398.8466505783,55
5,"n",4.8,63096,49,"truth",7,11.9142632759224,9.58363295717819,4.25149112577011,0
5,"n",4.8,63096,49,"selected",23,668.725007619617,20120.3324700312,305.485393077107,21
6,"n",4.8,63096,49,"full",55,7662.27260309195,1435221.43053062,1419.51248194551,55
6,"n",4.8,63096,49,"trimmed",55,7662.27260309195,1435221.43053062,1419.51248194551,55
6,"n",4.8,63096,49,"truth",7,11.4902898532732,8.96219054837717,4.16562681361404,0
6,"n",4.8,63096,49,"selected",13,360.885774600341,8139.77415552127,29.1680274600141,10
7,"n",4.8,63096,49,"full",55,4566.51338138182,529281.656474262,1575.85129594905,55
7,"n",4.8,63096,49,"trimmed",55,4566.51338138182,529281.656474262,1575.85129594905,55
7,"n",4.8,63096,49,"truth",7,11.5375928211977,9.22158135256042,4.07973177312968,0
7,"n",4.8,63096,49,"selected",27,599.072056932324,15011.4557040555,268.547878443622,23
8,"n",4.8,63096,49,"full",55,7081.82966389465,1328426.61146067,11585.132225289,55
8,"n",4.8,63096,49,"trimmed",55,7081.82966389465,1328426.61146067,11585.132225289,55
8,"n",4.8,63096,49,"truth",7,11.8496320005596,9.53009286342616,4.188748361291,0
8,"n",4.8,63096,49,"selected",19,493.284930838132,11919.4222185915,256.915350987147,18
9,"n",4.8,63096,49,"full",55,1590.79280275119,66943.6474510225,3609.70952724541,55
9,"n",4.8,63096,49,"trimmed",55,1590.79280275119,66943.6474510225,3609.70952724541,55
9,"n",4.8,63096,49,"truth",7,11.1590866802777,8.80802706823042,4.0803678978691,0
9,"n",4.8,63096,49,"selected",36,857.417771867411,28968.9556804031,380.523626738783,36
0,"n",4.6,39811,49,"full",55,4211.44660585362,455972.015347069,1076.36291172502,55
0,"n",4.6,39811,49,"trimmed",55,4211.44660585362,455972.015347069,1076.36291172502,55
0,"n",4.6,39811,49,"truth",7,11.4932119573296,9.11660588140194,4.08219778010268,0
0,"n",4.6,39811,49,"selected",12,366.889742334323,9086.20949836042,15.4286157835222,6
1,"n",4.6,39811,49,"full",55,1638.68477783581,76687.9194247214,5209.54459924246,55
1,"n",4.6,39811,49,"trimmed",55,1638.68477783581,76687.9194247214,5209.54459924246,55
1,"n",4.6,39811,49,"truth",7,10.9155608098039,8.59778467356486,4.05630560535584,0
1,"n",4.6,39811,49,"selected",43,1181.01608092482,56416.1125837202,646.30498490177,43
2,"n",4.6,39811,49,"full",55,8104.49045185185,1637050.21147349,4720.75470994796,55
2,"n",4.6,39811,49,"trimmed",55,8104.49045185185,1637050.21147349,4720.75470994796,55
2,"n",4.6,39811,49,"truth",7,11.9144193992061,9.54578674055711,4.27034640284985,0
2,"n",4.6,39811,49,"selected",17,552.847030302956,18555.8277957442,25.7879050700679,12
3,"n",4.6,39811,49,"full",55,3858.69632806999,425450.754680892,3526.76241983018,55
3,"n",4.6,39811,49,"trimmed",55,3858.69632806999,425450.754680892,3526.76241983018,55
3,"n",4.6,39811,49,"truth",7,11.6402064910268,9.25072565211982,4.18195538285339,0
3,"n",4.6,39811,49,"selected",27,281.785869031958,3874.49509556984,201.168404829855,27
4,"n",4.6,39811,49,"full",55,8120.84332553827,1643960.91203595,6354.42811771988,55
4,"n",4.6,39811,49,"trimmed",55,8120.84332553827,1643960.91203595,6354.42811771988,55
4,"n",4.6,39811,49,"truth",7,11.882023724557,9.50228076002043,4.22899010955963,0
4,"n",4.6,39811,49,"selected",12,147.853634708149,1285.61110636111,91.4836350815411,10
5,"n",4.6,39811,49,"full",55,6107.34030843999,991337.335763982,7261.99994239652,55
5,"n",4.6,39811,49,"trimmed",55,6107.34030843999,991337.335763982,7261.99994239652,55
5,"n",4.6,39811,49,"truth",7,11.7107634745702,9.41076677847736,4.17760569688984,0
5,"n",4.6,39811,49,"selected",24,574.532265368135,15835.5229693504,215.908152893472,23
6,"n",4.6,39811,49,"full",55,6109.64995602138,930482.752485583,921.437327913949,55
