"trial","sweep","log10n","n","snr","trimmed_p","trimmed_max_degree","selected","selected_intercept","screen_exact_truth","truth_in_selected","seconds"
0,"n",5,1e+05,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x3^4",TRUE,FALSE,TRUE,76.1564648151398
1,"n",5,1e+05,49,55,5,"x1;x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2;x2^3;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1 x2^3;x2^4;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^4 x2;x1^3 x2^2;x1^2 x2^3;x1 x2^4;x2^5;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x1^2 x2 x3^2;x2^3 x3^2;x1 x3^4;x3^5",TRUE,FALSE,FALSE,75.8630867004395
2,"n",5,1e+05,49,55,5,"x2;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x3^3;x3^4;x2^5;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3",TRUE,FALSE,TRUE,76.42982172966
3,"n",5,1e+05,49,55,5,"x1;x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x2^3;x1^2 x3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x1^5;x1^3 x2^2;x1^2 x2^3;x1 x2^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^3 x3^2;x2^3 x3^2;x1^2 x3^3;x2^2 x3^3",TRUE,FALSE,TRUE,78.7392995357513
4,"n",5,1e+05,49,55,5,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x3^4",TRUE,FALSE,TRUE,75.3283317089081
5,"n",5,1e+05,49,55,5,"x1;x2;x3;x1^2;x2^2;x3^2;x1 x2^2;x2^3;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x3^4;x1^4 x3;x1^2 x2^2 x3;x1 x2^3 x3",TRUE,FALSE,FALSE,71.6227424144745
6,"n",5,1e+05,49,55,5,"x1;x3;x1^2;x2^2;x1 x3;x3^2;x1 x2^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x3^4;x1^2 x2^2 x3",TRUE,FALSE,TRUE,69.9901752471924
7,"n",5,1e+05,49,55,5,"x1;x2;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x2^3;x1^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^4 x3;x1^3 x3^2;x2^2 x3^3",TRUE,FALSE,FALSE,71.9512591362
8,"n",5,1e+05,49,55,5,"x1;x2;x3;x1^2;x1 x2;x2^2;x3^2;x1^2 x3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x1 x2^3;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^2 x3;x2^4 x3;x1^2 x2 x3^2",TRUE,FALSE,TRUE,67.8077881336212
9,"n",5,1e+05,49,55,5,"x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1 x2^2;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^4 x3;x1^3 x3^2;x1 x2^2 x3^2;x1 x3^4",TRUE,FALSE,FALSE,65.047669172287
