"trial","log10n","n","snr","variant","p_selected","truth_in_selected","n_spurious_selected","p_final","success","truth_in_final","n_spurious_final","selected"
0,5,1e+05,49,"min/min",14,TRUE,7,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x3^4"
0,5,1e+05,49,"min/1se",15,TRUE,8,8,TRUE,TRUE,0,"x2;x3;x1^2;x2^2;x1 x3;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x3^4;x1^3 x2 x3"
0,5,1e+05,49,"1se/1se",15,TRUE,8,8,TRUE,TRUE,0,"x2;x3;x1^2;x2^2;x1 x3;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x3^4;x1^3 x2 x3"
1,5,1e+05,49,"min/min",39,FALSE,34,35,FALSE,FALSE,29,"x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2;x2^3;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x2^4;x1^2 x2 x3;x2^3 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^4 x2;x1^3 x2^2;x1^2 x2^3;x1 x2^4;x2^5;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x1^2 x2 x3^2;x2^3 x3^2;x1 x3^4;x3^5"
1,5,1e+05,49,"min/1se",37,FALSE,33,35,FALSE,FALSE,30,"x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2;x2^3;x1 x2 x3;x2^2 x3;x1 x3^2;x1^4;x1^2 x2^2;x2^4;x1^2 x2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^3 x2^2;x1^2 x2^3;x1 x2^4;x2^5;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x1^2 x2 x3^2;x2^3 x3^2;x1 x3^4;x3^5"
1,5,1e+05,49,"1se/1se",19,FALSE,16,20,FALSE,FALSE,16,"x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^4;x1^2 x2^2;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x3^4;x1^2 x2^3;x1 x2^4;x1^4 x3;x1 x2^3 x3"
2,5,1e+05,49,"min/min",25,TRUE,18,8,TRUE,TRUE,0,"x2;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x1 x3^3;x3^4;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3"
2,5,1e+05,49,"min/1se",17,FALSE,12,18,FALSE,FALSE,12,"x2;x3;x1^2;x2^2;x1 x3;x1^2 x2;x1 x2^2;x2^3;x1^2 x3;x1 x2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x2^2 x3^2;x3^4"
2,5,1e+05,49,"1se/1se",16,FALSE,11,17,FALSE,FALSE,11,"x2;x3;x1^2;x2^2;x1 x3;x1^2 x2;x1 x2^2;x1^2 x3;x1 x2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x2^2 x3^2;x3^4"
3,5,1e+05,49,"min/min",33,TRUE,26,10,FALSE,TRUE,2,"x1;x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x2^3;x1^2 x3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x1^5;x1^4 x2;x1^3 x2^2;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^3 x3^2;x1^2 x2 x3^2;x2^3 x3^2;x1^2 x3^3;x2^2 x3^3"
3,5,1e+05,49,"min/1se",17,FALSE,12,18,FALSE,FALSE,12,"x1;x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x2^3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2"
3,5,1e+05,49,"1se/1se",17,FALSE,12,18,FALSE,FALSE,12,"x1;x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x2^3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2"
4,5,1e+05,49,"min/min",12,TRUE,5,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x3^4"
4,5,1e+05,49,"min/1se",15,FALSE,9,14,FALSE,FALSE,7,"x3;x1^2;x2^2;x1 x3;x1^2 x2;x2^3;x1^2 x3;x2 x3^2;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x2 x3^3;x3^4"
4,5,1e+05,49,"1se/1se",16,FALSE,10,13,FALSE,FALSE,6,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x2;x2^3;x1^2 x3;x2 x3^2;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x2 x3^3;x3^4"
5,5,1e+05,49,"min/min",25,FALSE,19,21,FALSE,FALSE,14,"x2;x3;x1^2;x2^2;x3^2;x1^3;x1^2 x2;x1 x2^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x1 x2^2 x3^2"
5,5,1e+05,49,"min/1se",18,FALSE,13,18,FALSE,FALSE,12,"x3;x1^2;x2^2;x1^3;x1 x2^2;x1 x2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1^2 x2 x3;x2^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3"
5,5,1e+05,49,"1se/1se",18,FALSE,13,18,FALSE,FALSE,12,"x3;x1^2;x2^2;x1^3;x1 x2^2;x1 x2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1^2 x2 x3;x2^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3"
6,5,1e+05,49,"min/min",15,TRUE,8,8,TRUE,TRUE,0,"x1;x3;x1^2;x2^2;x1 x3;x3^2;x1 x2^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x3^4"
