"system","trial","K_frac","K","exact","intercept","n_spurious","n_missing"
"dadras",1,0.25,1250,TRUE,FALSE,0,0
"dadras",1,0.04,200,TRUE,FALSE,0,0
"dadras",1,0.02,100,TRUE,FALSE,0,0
"dadras",2,0.25,1250,FALSE,TRUE,0,0
"dadras",2,0.04,200,TRUE,FALSE,0,0
"dadras",2,0.02,100,TRUE,FALSE,0,0
"dadras",3,0.25,1250,TRUE,FALSE,0,0
"dadras",3,0.04,200,TRUE,FALSE,0,0
"dadras",3,0.02,100,TRUE,FALSE,0,0
"dadras",4,0.25,1250,TRUE,FALSE,0,0
"dadras",4,0.04,200,TRUE,FALSE,0,0
"dadras",4,0.02,100,TRUE,FALSE,0,0
"dadras",5,0.25,1250,TRUE,FALSE,0,0
"dadras",5,0.04,200,TRUE,FALSE,0,0
"dadras",5,0.02,100,TRUE,FALSE,0,0
"dadras",6,0.25,1250,TRUE,FALSE,0,0
"dadras",6,0.04,200,TRUE,FALSE,0,0
"dadras",6,0.02,100,TRUE,FALSE,0,0
"dadras",7,0.25,1250,TRUE,FALSE,0,0
"dadras",7,0.04,200,TRUE,FALSE,0,0
"dadras",7,0.02,100,TRUE,FALSE,0,0
"dadras",8,0.25,1250,TRUE,FALSE,0,0
"dadras",8,0.04,200,TRUE,FALSE,0,0
"dadras",8,0.02,100,TRUE,FALSE,0,0
"dadras",9,0.25,1250,TRUE,FALSE,0,0
"dadras",9,0.04,200,TRUE,FALSE,0,0
"dadras",9,0.02,100,TRUE,FALSE,0,0
"dadras",10,0.25,1250,TRUE,FALSE,0,0
"dadras",10,0.04,200,TRUE,FALSE,0,0
"dadras",10,0.02,100,TRUE,FALSE,0,0
"dadras",11,0.25,1250,TRUE,FALSE,0,0
"dadras",11,0.04,200,TRUE,FALSE,0,0
"dadras",11,0.02,100,TRUE,FALSE,0,0
"dadras",12,0.25,1250,FALSE,TRUE,0,0
"dadras",12,0.04,200,TRUE,FALSE,0,0
"dadras",12,0.02,100,TRUE,FALSE,0,0
"dadras",13,0.25,1250,TRUE,FALSE,0,0
"dadras",13,0.04,200,TRUE,FALSE,0,0
"dadras",13,0.02,100,TRUE,FALSE,0,0
"dadras",14,0.25,1250,FALSE,TRUE,0,0
"dadras",14,0.04,200,TRUE,FALSE,0,0
"dadras",14,0.02,100,TRUE,FALSE,0,0
"dadras",15,0.25,1250,TRUE,FALSE,0,0
"dadras",15,0.04,200,TRUE,FALSE,0,0
"dadras",15,0.02,100,TRUE,FALSE,0,0
"dadras",16,0.25,1250,FALSE,TRUE,0,0
"dadras",16,0.04,200,TRUE,FALSE,0,0
"dadras",16,0.02,100,TRUE,FALSE,0,0
"dadras",17,0.25,1250,TRUE,FALSE,0,0
"dadras",17,0.04,200,TRUE,FALSE,0,0
"dadras",17,0.02,100,TRUE,FALSE,0,0
"dadras",18,0.25,1250,TRUE,FALSE,0,0
"dadras",18,0.04,200,TRUE,FALSE,0,0
"dadras",18,0.02,100,TRUE,FALSE,0,0
"dadras",19,0.25,1250,FALSE,TRUE,0,0
"dadras",19,0.04,200,TRUE,FALSE,0,0
"dadras",19,0.02,100,TRUE,FALSE,0,0
"dadras",20,0.25,1250,TRUE,FALSE,0,0
"dadras",20,0.04,200,TRUE,FALSE,0,0
"dadras",20,0.02,100,TRUE,FALSE,0,0
"aizawa",1,0.25,1250,FALSE,TRUE,1,0
"aizawa",1,0.04,200,FALSE,TRUE,11,2
"aizawa",1,0.02,100,FALSE,TRUE,5,0
"aizawa",2,0.25,1250,TRUE,TRUE,0,0
"aizawa",2,0.04,200,FALSE,TRUE,1,0
"aizawa",2,0.02,100,FALSE,TRUE,6,4
"aizawa",3,0.25,1250,FALSE,TRUE,18,2
"aizawa",3,0.04,200,FALSE,TRUE,2,0
"aizawa",3,0.02,100,FALSE,TRUE,11,2
"aizawa",4,0.25,1250,TRUE,TRUE,0,0
"aizawa",4,0.04,200,FALSE,TRUE,9,1
"aizawa",4,0.02,100,FALSE,TRUE,4,1
"aizawa",5,0.25,1250,FALSE,TRUE,3,0
"aizawa",5,0.04,200,FALSE,TRUE,6,1
"aizawa",5,0.02,100,FALSE,TRUE,14,2
"aizawa",6,0.25,1250,FALSE,TRUE,2,0
"aizawa",6,0.04,200,FALSE,TRUE,1,0
"aizawa",6,0.02,100,FALSE,TRUE,8,1
"aizawa",7,0.25,1250,FALSE,TRUE,1,0
"aizawa",7,0.04,200,TRUE,TRUE,0,0
"aizawa",7,0.02,100,FALSE,TRUE,6,1
"aizawa",8,0.25,1250,FALSE,TRUE,2,0
"aizawa",8,0.04,200,FALSE,TRUE,9,1
"aizawa",8,0.02,100,FALSE,TRUE,1,0
"aizawa",9,0.25,1250,TRUE,TRUE,0,0
"aizawa",9,0.04,200,FALSE,TRUE,1,0
"aizawa",9,0.02,100,FALSE,TRUE,1,0
"aizawa",10,0.25,1250,TRUE,TRUE,0,0
"aizawa",10,0.04,200,FALSE,TRUE,7,1
"aizawa",10,0.02,100,FALSE,TRUE,2,0
"aizawa",11,0.25,1250,FALSE,TRUE,3,0
"aizawa",11,0.04,200,TRUE,TRUE,0,0
"aizawa",11,0.02,100,FALSE,TRUE,8,3
"aizawa",12,0.25,1250,FALSE,TRUE,5,0
"aizawa",12,0.04,200,FALSE,TRUE,2,0
"aizawa",12,0.02,100,FALSE,TRUE,7,6
"aizawa",13,0.25,1250,FALSE,TRUE,5,0
"aizawa",13,0.04,200,FALSE,TRUE,2,0
"aizawa",13,0.02,100,FALSE,TRUE,13,3
"aizawa",14,0.25,1250,FALSE,TRUE,1,0
"aizawa",14,0.04,200,FALSE,TRUE,4,0
"aizawa",14,0.02,100,TRUE,TRUE,0,0
"aizawa",15,0.25,1250,TRUE,TRUE,0,0
"aizawa",15,0.04,200,TRUE,TRUE,0,0
"aizawa",15,0.02,100,FALSE,TRUE,15,4
"aizawa",16,0.25,1250,FALSE,TRUE,18,2
"aizawa",16,0.04,200,FALSE,TRUE,14,2
"aizawa",16,0.02,100,FALSE,TRUE,3,0
"aizawa",17,0.25,1250,FALSE,TRUE,11,2
"aizawa",17,0.04,200,FALSE,TRUE,8,1
"aizawa",17,0.02,100,FALSE,TRUE,10,3
"aizawa",18,0.25,1250,TRUE,TRUE,0,0
"aizawa",18,0.04,200,FALSE,TRUE,5,0
"aizawa",18,0.02,100,FALSE,TRUE,3,3
"aizawa",19,0.25,1250,TRUE,TRUE,0,0
"aizawa",19,0.04,200,TRUE,TRUE,0,0
"aizawa",19,0.02,100,TRUE,TRUE,0,0
"aizawa",20,0.25,1250,TRUE,TRUE,0,0
"aizawa",20,0.04,200,FALSE,TRUE,9,0
"aizawa",20,0.02,100,FALSE,TRUE,2,0
