"system","sweep","x","success","method","response","selection"
"aizawa","n","2",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","2.1",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","2.2",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","2.3",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","2.4",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","2.5",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","2.6",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","2.7",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","2.8",0.03,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","2.9",0.04,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","3",0.13,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","3.1",0.22,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","3.2",0.23,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","3.3",0.26,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","3.4",0.35,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","3.5",0.4,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","3.6",0.65,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","3.7",0.76,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","3.8",0.75,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","3.9",0.59,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","4",0.64,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","4.1",0.64,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","4.2",0.56,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","4.3",0.57,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","4.4",0.61,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","4.5",0.63,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","4.6",0.52,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","4.7",0.54,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","4.8",0.51,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","4.9",0.5,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","5",0.45,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","n","2",0,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","2.1",0,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","2.2",0,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","2.3",0,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","2.4",0,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","2.5",0,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","2.6",0,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","2.7",0,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","2.8",0,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","2.9",0,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","3",0.03,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","3.1",0.07,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","3.2",0.08,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","3.3",0.13,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","3.4",0.12,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","3.5",0.13,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","3.6",0.2,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","3.7",0.29,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","3.8",0.3,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","3.9",0.29,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","4",0.3,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","4.1",0.27,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","4.2",0.23,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","4.3",0.18,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","4.4",0.19,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","4.5",0.13,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
"aizawa","n","4.6",0.14,"Bayesian-ARGOS (Integration)","Integration","Bayesian-ARGOS"
