"system","sweep","x","success","method","response","selection"
"aizawa","snr","1",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","2",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","3",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","4",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","5",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","6",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","7",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","8",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","9",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","10",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","11",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","12",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","13",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","14",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","15",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","16",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","17",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","18",0.01,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","19",0.01,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","20",0,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","21",0.01,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
"aizawa","snr","22",0.01,"Bayesian-ARGOS (SG)","SG","Bayesian-ARGOS"
