"system","eq","snr","log10n","arm","trials","success","intercept_kept","n_selected","n_kept","spurious_kept","ols_int_med","ols_int_se_med","ols_int_t_med","sigma_med","rho1_med","det_sd_med","det_max_med","K_med","t_stan_med"
"aizawa",3,60,3.69897000433602,"sg",20,0.7,1,12.5,7,0,0.649961245738494,0.000388288935628252,1673.99408786027,0.0147688139384543,0.681182572538867,1.09772958173858e-05,9.91895171299496e-05,5000,5.36983144283295
"aizawa",3,60,3.69897000433602,"weak/raw/m=1w/p=4",20,0.65,1,11.5,7,0,0.650036305759426,0.000228699901457799,2842.36587774027,0.0034448381153319,0.0160043520955458,3.62858370944862e-05,7.76257803686286e-05,829,3.54802405834198
"aizawa",3,60,3.69897000433602,"weak/raw/m=1w/p=8",20,0.75,1,12,7,0,0.650009278250021,0.000355995377065003,1825.90336875798,0.00529729866779714,-0.350907059667955,2.3721551259925e-07,9.93205234500749e-07,829,3.06887137889862
"aizawa",3,60,3.69897000433602,"weak/raw/m=2w/p=4",20,0.55,1,11.5,7,0,0.650000486395067,0.000120490138913562,5394.48257097986,0.00126473752920372,-0.0870921078959744,2.26284588840086e-06,4.72127197115313e-06,381,4.41057932376861
"aizawa",3,60,3.69897000433602,"weak/raw/m=2w/p=8",20,0.65,1,10.5,7,0,0.650004235794093,0.000187518350036579,3466.58142066216,0.00193713095437355,-0.399914286679565,1.88925159256412e-07,7.48960252483499e-07,381,3.52594876289368
"aizawa",3,60,3.69897000433602,"weak/smoothed/m=1w/p=4",20,0.7,1,11.5,7,0,0.650035257038931,0.000228091223741624,2849.95579645595,0.00343450805935001,0.0194110304404598,3.62858370944862e-05,7.76257803686286e-05,829,3.50665247440338
"aizawa",3,60,3.69897000433602,"weak/smoothed/m=1w/p=8",20,0.75,1,12,7,0,0.650007445263303,0.00035161787473471,1848.59186795763,0.00523339316265225,-0.34105136108877,2.3721551259925e-07,9.93205234500749e-07,829,3.02571725845337
"aizawa",3,60,3.69897000433602,"weak/smoothed/m=2w/p=4",20,0.5,1,11.5,7.5,0.5,0.650000051450204,0.000120474373937618,5395.18469884891,0.00126466117499829,-0.0870133561601737,2.26284588840086e-06,4.72127197115313e-06,381,4.46581733226776
"aizawa",3,60,3.69897000433602,"weak/smoothed/m=2w/p=8",20,0.65,1,10.5,7,0,0.650003721423556,0.000187469846594961,3467.47587499631,0.00193663630327572,-0.399881154921892,1.88925159256412e-07,7.48960252483499e-07,381,3.35573029518128
"aizawa",3,Inf,3.69897000433602,"sg",20,0,1,25.5,22.5,16,0.650000116712269,2.94763096418101e-07,2205676.06805496,1.0136213344598e-05,0.98137349019692,1.09772958173858e-05,9.91895171299496e-05,5000,15.2328287363053
"aizawa",3,Inf,3.69897000433602,"weak/raw/m=1w/p=4",20,0,1,22.5,14.5,8,0.650029351596568,2.14731887317875e-08,30272275.3208589,3.32270517729381e-07,0.770837889933337,3.62858370944862e-05,7.76257803686286e-05,829,17.1620043516159
"aizawa",3,Inf,3.69897000433602,"weak/raw/m=1w/p=8",20,0.2,1,21,14.5,8,0.650000011551202,1.48471424177158e-08,43789194.0779041,2.29387626581973e-07,0.698172695781845,2.3721551259925e-07,9.93205234500749e-07,829,10.8589607477188
"aizawa",3,Inf,3.69897000433602,"weak/raw/m=2w/p=4",20,0.2,1,21,9,2,0.650001834018438,1.6439838245638e-08,39548146.8043462,1.68675800960332e-07,0.126425514079934,2.26284588840086e-06,4.72127197115313e-06,381,19.835237622261
"aizawa",3,Inf,3.69897000433602,"weak/raw/m=2w/p=8",20,0.3,1,20,8,1,0.649999991854983,1.79386858571395e-08,36252088.2837521,1.84795131666318e-07,0.0546788705495861,1.88925159256412e-07,7.48960252483499e-07,381,12.9502966403961
"aizawa",3,Inf,3.69897000433602,"weak/smoothed/m=1w/p=4",20,0,1,21,14,7,0.650029357839639,2.53894154994421e-08,25603795.3704797,3.96461284351975e-07,0.753658321909039,3.62858370944862e-05,7.76257803686286e-05,829,13.109277009964
"aizawa",3,Inf,3.69897000433602,"weak/smoothed/m=1w/p=8",20,0.15,1,21.5,14.5,8,0.650000018475142,1.85815989449993e-08,34981147.4042629,2.88434643858263e-07,0.700246667307641,2.3721551259925e-07,9.93205234500749e-07,829,12.4513384103775
"aizawa",3,Inf,3.69897000433602,"weak/smoothed/m=2w/p=4",20,0.15,1,20.5,9.5,2.5,0.650001841347994,1.98867662813003e-08,32686012.6145416,2.03511822295615e-07,0.0650705605110921,2.26284588840086e-06,4.72127197115313e-06,381,19.0867686271667
"aizawa",3,Inf,3.69897000433602,"weak/smoothed/m=2w/p=8",20,0.2,1,20,9,2,0.649999998325216,2.22619268394804e-08,29198814.1799106,2.28589271499732e-07,0.0102882406903548,1.88925159256412e-07,7.48960252483499e-07,381,13.9844985008239
"dadras",1,49,4,"sg",20,1,0,3,3,0,0.00495571990272142,0.00370346426111861,1.16129975855138,0.350699802836521,0.783026553389633,0.290844726171048,7.80728134739341,10000,2.99011313915253
"dadras",1,49,4,"weak/raw/m=1w/p=4",20,1,0,3,3,0,0.000333916315913868,0.00141445831153662,0.23453476744439,0.0548106079342435,0.0761991222898629,0.000418781518415699,0.00253106329138575,1663,1.30557096004486
"dadras",1,49,4,"weak/raw/m=1w/p=8",20,1,0,3,3,0,0.000339408453047821,0.00213557699085076,0.159336325417228,0.083101442907363,-0.304831195964353,1.07934388243018e-06,8.13005157951352e-06,1663,1.12668490409851
"dadras",1,49,4,"weak/raw/m=2w/p=4",20,1,0,3,3,0,0.000401159907997173,0.000854969323446522,0.4646094165149,0.0224105711956103,0.10186527005676,1.90385601253646e-05,7.81627457868694e-05,766,1.28475594520569
"dadras",1,49,4,"weak/raw/m=2w/p=8",20,1,0,3,3,0,0.000411096618800637,0.00122316579672903,0.338568862870021,0.0318573184007786,-0.262728612028743,5.65417641503113e-07,2.92157750614308e-06,766,1.12847447395324
"dadras",1,49,4,"weak/smoothed/m=1w/p=4",20,1,0,3,3,0,0.000367504400021662,0.00142211795826275,0.261784053856852,0.0549396312788739,0.0719002722493531,0.000418781518415699,0.00253106329138575,1663,1.31193518638611
"dadras",1,49,4,"weak/smoothed/m=1w/p=8",20,1,0,3,3,0,0.000348841401100901,0.0021324560489104,0.165545371109399,0.0827508868320137,-0.299553129557224,1.07934388243018e-06,8.13005157951352e-06,1663,1.15398740768432
"dadras",1,49,4,"weak/smoothed/m=2w/p=4",20,1,0,3,3,0,0.000384579472062927,0.000855080559513061,0.445298781658527,0.0223874597754586,0.102232090655941,1.90385601253646e-05,7.81627457868694e-05,766,1.29962253570557
"dadras",1,49,4,"weak/smoothed/m=2w/p=8",20,1,0,3,3,0,0.000387673016893346,0.00122187335277164,0.319319009804764,0.0318418926477088,-0.264677716478404,5.65417641503113e-07,2.92157750614308e-06,766,1.14628505706787
