"system","eq","trial","snr","log10n","n","sg_order","sg_window","states","m","p","stride","arm","K","selected","selected_intercept","n_selected","kept","kept_intercept","n_kept","n_true_kept","n_spurious_selected","n_spurious_kept","success","max_rel_coef_err","int_mean","int_lo","int_hi","ols_int_true_support","ols_int_se","ols_int_t","sigma_true_support","rho1_true_support","sigma_kept","det_error_mean","det_error_sd","det_error_max","t_stan_s"
"aizawa",3,1,60,3.69897000433602,5000,4,13,"smoothed",NA,NA,NA,"sg",5000,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x3^4",TRUE,9,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,2,0,TRUE,0.00623143623564709,0.649934683966108,0.649115357765597,0.650732521349425,0.650028294793013,0.000412554298305832,1575.61876694141,0.0131134947624349,0.691994266704896,0.0131132710714801,-2.16821981346982e-08,1.03004197121242e-05,5.88855483675266e-05,7.00077319145203
"aizawa",3,1,60,3.69897000433602,5000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",829,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x3^4",TRUE,10,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,3,0,TRUE,0.00307856867638973,0.649968030657613,0.649509105375922,0.650430289561382,0.650097501254363,0.000237601997667062,2736.07759041365,0.00306458507561248,0.0053583129627603,0.0030617823511512,5.35474336196584e-07,3.53123369630213e-05,7.45810537040592e-05,6.14582896232605
"aizawa",3,1,60,3.69897000433602,5000,4,13,"raw",13,8,6,"weak/raw/m=1w/p=8",829,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x3^4",TRUE,10,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,3,0,TRUE,0.00298477089413213,0.649946442032264,0.649251834832141,0.650649468139669,0.650074561263698,0.000361609484227518,1797.72541821575,0.00466871152120414,-0.331887011983067,0.00466599882625307,-3.75146889628512e-09,2.28998180460398e-07,8.67695462702933e-07,3.07291555404663
"aizawa",3,1,60,3.69897000433602,5000,4,13,"raw",26,4,13,"weak/raw/m=2w/p=4",381,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x3^4",TRUE,10,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3",TRUE,8,7,3,1,FALSE,0.00353588642491548,0.649934391866427,0.649694560507739,0.650182770643584,0.650070035879466,0.000120036942152975,5415.58310483299,0.00103897380541446,-0.125757417570991,0.00103274619431771,2.58694640876598e-08,2.20201136708892e-06,4.71491060383133e-06,4.14431238174438
"aizawa",3,1,60,3.69897000433602,5000,4,13,"raw",26,8,13,"weak/raw/m=2w/p=8",381,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x3^4",TRUE,10,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3",TRUE,8,7,3,1,FALSE,0.00460734482405595,0.649874192407064,0.649503694673048,0.650256015470942,0.650063763193192,0.000188070234421353,3456.49467175538,0.00163438620230015,-0.453810027310802,0.00162104946446229,-3.59495887039737e-09,1.83453947876233e-07,6.23708570790527e-07,3.55606555938721
"aizawa",3,1,60,3.69897000433602,5000,4,13,"smoothed",13,4,6,"weak/smoothed/m=1w/p=4",829,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x3^4",TRUE,10,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,3,0,TRUE,0.00298278749662423,0.649965274005329,0.64948362009652,0.650434974890507,0.650099337061073,0.000236969276141367,2743.39082115121,0.00305642553049034,0.00803564903794326,0.00305263210326741,5.35474336196584e-07,3.53123369630213e-05,7.45810537040592e-05,4.24969506263733
"aizawa",3,1,60,3.69897000433602,5000,4,13,"smoothed",13,8,6,"weak/smoothed/m=1w/p=8",829,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x3^4",TRUE,10,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,3,0,TRUE,0.00190797786839253,0.649949427404286,0.649240468366944,0.650667117909043,0.65007333117333,0.000357448883144607,1818.64697814804,0.00461499628456897,-0.321728218105505,0.00461261757456846,-3.75146889628512e-09,2.28998180460398e-07,8.67695462702933e-07,3.05768013000488
"aizawa",3,1,60,3.69897000433602,5000,4,13,"smoothed",26,4,13,"weak/smoothed/m=2w/p=4",381,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x3^4",TRUE,10,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3",TRUE,8,7,3,1,FALSE,0.00363430216753452,0.649931436052669,0.649699784973883,0.650160432085479,0.650069415579935,0.000120022491993161,5416.22994810822,0.00103884918596153,-0.125571844817204,0.00103287329541258,2.58694640876598e-08,2.20201136708892e-06,4.71491060383133e-06,4.11347270011902
"aizawa",3,1,60,3.69897000433602,5000,4,13,"smoothed",26,8,13,"weak/smoothed/m=2w/p=8",381,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x3^4",TRUE,10,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3",TRUE,8,7,3,1,FALSE,0.00467392831900154,0.649875519217669,0.649501955442991,0.650275797005344,0.650063283110989,0.000188023971106527,3457.34258927384,0.00163398487261079,-0.45375178772504,0.00162040001187064,-3.59495887039737e-09,1.83453947876233e-07,6.23708570790527e-07,3.58543515205383
"aizawa",3,2,60,3.69897000433602,5000,4,13,"smoothed",NA,NA,NA,"sg",5000,"x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2",TRUE,19,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,12,0,TRUE,0.00876726675673623,0.649873052216009,0.64916718048031,0.650585564354538,0.649916050328331,0.000375397122550766,1731.27605750479,0.0163552776344065,0.689030882135135,0.016350632273618,-1.78250465967533e-07,1.15402868633683e-05,0.000322553652707946,5.92064905166626
"aizawa",3,2,60,3.69897000433602,5000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",829,"x3;x1^2;x2^2;x2 x3;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1 x2^3;x2^4;x1^3 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2",TRUE,21,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,14,0,TRUE,0.00212751266676436,0.650023004617428,0.649577020931789,0.650477578516386,0.650072441719566,0.000227652328967944,2855.54926965453,0.00400800604418289,-0.0261673056301736,0.00400237391199849,6.58140724297698e-07,3.51191875118669e-05,0.000100450293587184,6.36256313323975
"aizawa",3,2,60,3.69897000433602,5000,4,13,"raw",13,8,6,"weak/raw/m=1w/p=8",829,"x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x2^3;x1^2 x3;x1 x2 x3;x2 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1 x2^3;x2^4;x1^3 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2",TRUE,22,"x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x2^3;x1^2 x3;x1 x2 x3;x2 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1 x2^3;x2^4;x1^3 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2",TRUE,22,6,16,16,FALSE,1,0.649176963656115,0.647555841765883,0.650746080093669,0.650048646260207,0.000355924530214497,1826.36652176925,0.00626923146564379,-0.369928605465491,0.0143373787872607,-8.22316300925648e-09,2.13905914358249e-07,9.80076389045514e-07,4.75683331489563
"aizawa",3,2,60,3.69897000433602,5000,4,13,"raw",26,4,13,"weak/raw/m=2w/p=4",381,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x2^2 x3^2",TRUE,8,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,1,0,TRUE,0.00254035404415753,0.65004919688862,0.649853358451561,0.650235863359291,0.650057991184995,0.000115083110831927,5648.59592763678,0.00135731488801434,-0.0451408463265431,0.00135705850136249,3.64472953081044e-08,2.18318340774997e-06,5.12061622048865e-06,2.89521861076355
"aizawa",3,2,60,3.69897000433602,5000,4,13,"raw",26,8,13,"weak/raw/m=2w/p=8",381,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2",TRUE,10,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,3,0,TRUE,0.0024427190055285,0.649984861251417,0.649669082536232,0.650307306425744,0.650069305549201,0.000178385750930089,3644.17730765934,0.00210758697136199,-0.396320907214288,0.00210144524227441,-8.45436679281947e-09,1.68434192755864e-07,7.48562979047129e-07,3.49583196640015
"aizawa",3,2,60,3.69897000433602,5000,4,13,"smoothed",13,4,6,"weak/smoothed/m=1w/p=4",829,"x3;x1^2;x2^2;x2 x3;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1 x2^3;x2^4;x1^3 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2",TRUE,21,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,14,0,TRUE,0.00180435693816983,0.65002537388764,0.64956854942028,0.650467659176163,0.650073144542131,0.000227020136129253,2863.50433765934,0.00399687702608372,-0.0233755018273101,0.0039911832262489,6.58140724297698e-07,3.51191875118669e-05,0.000100450293587184,6.31729435920715
"aizawa",3,2,60,3.69897000433602,5000,4,13,"smoothed",13,8,6,"weak/smoothed/m=1w/p=8",829,"x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x2^3;x1^2 x3;x1 x2 x3;x2 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1 x2^3;x2^4;x1^3 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2",TRUE,22,"x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x2^3;x1^2 x3;x1 x2 x3;x2 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1 x2^3;x2^4;x1^3 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2",TRUE,22,6,16,16,FALSE,1,0.649155874351506,0.647582382367544,0.650657858849836,0.650047816607174,0.000351842426475696,1847.55381299099,0.00619733176574155,-0.36090655304795,0.0143052944675384,-8.22316300925648e-09,2.13905914358249e-07,9.80076389045514e-07,4.74989748001099
"aizawa",3,2,60,3.69897000433602,5000,4,13,"smoothed",26,4,13,"weak/smoothed/m=2w/p=4",381,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x2^2 x3^2",TRUE,8,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,1,0,TRUE,0.00235846716713328,0.650051334894532,0.649865075887741,0.650243999162726,0.65005759903206,0.000115082717956466,5648.61180353742,0.00135731071297887,-0.0450076032388551,0.00135704784444859,3.64472953081044e-08,2.18318340774997e-06,5.12061622048865e-06,2.97974324226379
"aizawa",3,2,60,3.69897000433602,5000,4,13,"smoothed",26,8,13,"weak/smoothed/m=2w/p=8",381,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2",TRUE,10,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3",TRUE,7,7,3,0,TRUE,0.00238965394184742,0.649979257453808,0.649648080701582,0.650299590142511,0.650068858494858,0.000178331570388313,3645.28197155078,0.00210694754880024,-0.396289159389422,0.00210074283447813,-8.45436679281947e-09,1.68434192755864e-07,7.48562979047129e-07,3.28194308280945
"aizawa",3,3,60,3.69897000433602,5000,4,13,"smoothed",NA,NA,NA,"sg",5000,"x1;x2;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x1^2 x3;x1 x2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1 x2^2 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x3^4;x1^5;x1^3 x2^2;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^3 x3^2;x1^2 x3^3;x1 x3^4",TRUE,32,"x1;x2;x3;x1^2;x2^2;x3^2;x1^3;x1^2 x2;x1 x2^2;x1^2 x3;x1 x2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1 x2^2 x3;x1^2 x3^2;x1 x2 x3^2;x1 x3^3;x3^4;x1^5;x1^3 x2^2;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^3 x3^2;x1^2 x3^3;x1 x3^4",TRUE,30,6,26,24,FALSE,1,0.651530331616187,0.64983435632261,0.653196625934664,0.649994054349763,0.000406090953912229,1600.61200105002,0.0135319026837114,0.6937952657047,0.0156675371628121,-3.7795413901498e-08,1.1082794951678e-05,9.22780040074622e-05,20.6630589962006
"aizawa",3,3,60,3.69897000433602,5000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",829,"x1;x2;x3;x1^2;x2^2;x1 x3;x1^3;x1^2 x2;x1 x2^2;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x2 x3^3;x3^4;x1^5;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x1^2 x3^3",TRUE,29,"x1;x2;x3;x1^2;x2^2;x1 x3;x1^3;x1^2 x2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x2^3 x3;x2^2 x3^2;x3^4;x1^5;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1^2 x3^3",TRUE,22,6,23,16,FALSE,1,0.65317518070964,0.650735445556852,0.655642027582275,0.650047269919211,0.000240626991064231,2701.47279423734,0.00323268485855893,0.0250197923562541,0.0114357827692249,-5.04101686686298e-07,3.70979794297117e-05,7.373056582749e-05,10.6024227142334
"aizawa",3,3,60,3.69897000433602,5000,4,13,"raw",13,8,6,"weak/raw/m=1w/p=8",829,"x2;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x2 x3^3;x3^4;x1^5;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^3 x3^2",TRUE,32,"x2;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x2^3;x1^2 x3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x2^2 x3^2;x2 x3^3;x3^4;x1^5;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^3 x3^2",TRUE,29,6,26,23,FALSE,1,0.655562613585075,0.652511121832435,0.658667486767058,0.650023345307725,0.0003718439246408,1748.10801584467,0.00500139748920451,-0.350566116559146,0.011849929122847,-1.27275219288869e-08,2.44874490066667e-07,9.6083946721226e-07,16.4844942092896
