"system","eq","trial","snr","log10n","n","sg_order","sg_window","states","m","p","stride","arm","K","selected","selected_intercept","n_selected","kept","kept_intercept","n_kept","n_true_kept","n_spurious_selected","n_spurious_kept","success","max_rel_coef_err","int_mean","int_lo","int_hi","ols_int_true_support","ols_int_se","ols_int_t","sigma_true_support","rho1_true_support","sigma_kept","det_error_mean","det_error_sd","det_error_max","t_stan_s"
"dadras",1,1,49,4,10000,4,13,"smoothed",NA,NA,NA,"sg",10000,"x1;x2;x2 x3",FALSE,3,"x1;x2;x2 x3",FALSE,3,3,0,0,TRUE,0.00424047654881971,NA,NA,NA,0.00174285014235067,0.00294904086626737,0.59098880666127,0.279996906968289,0.748925888730087,0.279997433444335,4.43403540971573e-06,0.172394862734522,3.84169665494422,3.02114582061768
"dadras",1,1,49,4,10000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",1663,"x1;x2;x2 x3",FALSE,3,"x1;x2;x2 x3",FALSE,3,3,0,0,TRUE,0.00036541844807747,NA,NA,NA,-0.00011588729564479,0.00145459445329875,-0.0796698319466153,0.056186795683274,0.0338318175917922,0.0561868043280506,9.01427926521872e-07,0.000423224606123465,0.00225845536239433,1.30885171890259
"dadras",1,1,49,4,10000,4,13,"raw",13,8,6,"weak/raw/m=1w/p=8",1663,"x1;x2;x2 x3",FALSE,3,"x1;x2;x2 x3",FALSE,3,3,0,0,TRUE,0.000294084051019716,NA,NA,NA,-5.21982916299012e-05,0.00222976179788905,-0.0234098062310145,0.0861780294322017,-0.329245208837006,0.0861780798775247,3.84771600285004e-08,1.13595589998792e-06,8.59803989783359e-06,1.10404658317566
"dadras",1,1,49,4,10000,4,13,"raw",26,4,13,"weak/raw/m=2w/p=4",766,"x1;x2;x2 x3",FALSE,3,"x1;x2;x2 x3",FALSE,3,3,0,0,TRUE,0.000379151396928012,NA,NA,NA,1.7306116614186e-05,0.000848336430234568,0.0204000629908122,0.0221400721736242,0.0954419066612758,0.0221400889811966,9.89217775971833e-08,1.92968891470321e-05,7.03180881522769e-05,1.27277278900146
"dadras",1,1,49,4,10000,4,13,"raw",26,8,13,"weak/raw/m=2w/p=8",766,"x1;x2;x2 x3",FALSE,3,"x1;x2;x2 x3",FALSE,3,3,0,0,TRUE,0.000374917495124194,NA,NA,NA,-1.24814064367446e-05,0.00124400793964361,-0.0100332208814682,0.0325223990008859,-0.279840866045968,0.0325224117394221,3.77757290232872e-08,5.6739701861422e-07,2.90514203449277e-06,1.45893335342407
"dadras",1,1,49,4,10000,4,13,"smoothed",13,4,6,"weak/smoothed/m=1w/p=4",1663,"x1;x2;x2 x3",FALSE,3,"x1;x2;x2 x3",FALSE,3,3,0,0,TRUE,0.000395403034033404,NA,NA,NA,-6.36388422397438e-05,0.00145043830588874,-0.0438755940058753,0.0560262480689601,0.0359763007864173,0.0560262745820981,9.01427926521872e-07,0.000423224606123465,0.00225845536239433,1.24705481529236
"dadras",1,1,49,4,10000,4,13,"smoothed",13,8,6,"weak/smoothed/m=1w/p=8",1663,"x1;x2;x2 x3",FALSE,3,"x1;x2;x2 x3",FALSE,3,3,0,0,TRUE,0.000330953544288359,NA,NA,NA,-6.23473885189497e-05,0.00220130466347549,-0.028322925741916,0.0850781694362097,-0.320532419196731,0.0850781855614965,3.84771600285004e-08,1.13595589998792e-06,8.59803989783359e-06,1.15629482269287
"dadras",1,1,49,4,10000,4,13,"smoothed",26,4,13,"weak/smoothed/m=2w/p=4",766,"x1;x2;x2 x3",FALSE,3,"x1;x2;x2 x3",FALSE,3,3,0,0,TRUE,0.000372821971743598,NA,NA,NA,1.2634951541787e-05,0.00084811391894164,0.0148977056732593,0.0221342639763674,0.0966115586841343,0.0221342906302414,9.89217775971833e-08,1.92968891470321e-05,7.03180881522769e-05,1.20303225517273
"dadras",1,1,49,4,10000,4,13,"smoothed",26,8,13,"weak/smoothed/m=2w/p=8",766,"x1;x2;x2 x3",FALSE,3,"x1;x2;x2 x3",FALSE,3,3,0,0,TRUE,0.000394997057044932,NA,NA,NA,-1.13044805618899e-05,0.00124110168061924,-0.00910842418346384,0.0324464172004819,-0.278292077695566,0.0324464618333797,3.77757290232872e-08,5.6739701861422e-07,2.90514203449277e-06,1.87007164955139
"dadras",1,2,49,4,10000,4,13,"smoothed",NA,NA,NA,"sg",10000,"x1;x2;x2 x3",FALSE,3,"x1;x2;x2 x3",FALSE,3,3,0,0,TRUE,0.00316949573762624,NA,NA,NA,0.00201343700223643,0.00270287363310422,0.744924578632269,0.249661675556843,0.736586745940871,0.24966263333071,5.6404981939773e-06,0.134080292748625,2.86458640058756,2.92994093894958
