"system","eq","trial","snr","log10n","n","sg_order","sg_window","states","m","p","stride","arm","K","selected","selected_intercept","n_selected","kept","kept_intercept","n_kept","n_true_kept","n_spurious_selected","n_spurious_kept","success","max_rel_coef_err","int_mean","int_lo","int_hi","ols_int_true_support","ols_int_se","ols_int_t","sigma_true_support","rho1_true_support","sigma_kept","det_error_mean","det_error_sd","det_error_max","t_stan_s"
"rossler",3,1,61,3.69897000433602,5000,4,13,"smoothed",NA,NA,NA,"sg",5000,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,9.77749959850028e-05,0.20012025563142,0.19877302479556,0.201420471487696,0.200128059793858,0.000812298379571155,246.372595128792,0.0545639399828838,0.690630800462477,0.0545639436430812,2.42713904077062e-05,0.00178060419489219,0.0563999385442557,5.96014738082886
"rossler",3,1,61,3.69897000433602,5000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,8.5735372135232e-05,0.200212812344771,0.199413846181175,0.201042788189958,0.2002243250194,0.000499601144193468,400.768347603832,0.0136611836201039,0.145308484012222,0.0136611854852379,1.2465071182338e-05,0.000369178233008221,0.00228298352738393,4.19642019271851
"rossler",3,1,61,3.69897000433602,5000,4,13,"raw",13,8,6,"weak/raw/m=1w/p=8",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,4.7598723122988e-05,0.200220010927498,0.199006029645987,0.201449594694215,0.200221486325226,0.000739421546964714,270.781243996912,0.02022497807692,-0.262942845465939,0.0202249866273659,1.79645773783225e-08,1.05962806955672e-06,9.44694637788901e-06,3.58203458786011
"rossler",3,1,61,3.69897000433602,5000,4,13,"raw",26,4,13,"weak/raw/m=2w/p=4",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,5.10425637433835e-05,0.200184681354321,0.199606084440401,0.200747949783133,0.200174408707609,0.000348267554871233,574.771912880661,0.00643631949677487,0.321096204980131,0.00643633857048501,7.2235762096043e-07,1.89949379544085e-05,0.000106410095493448,5.00317001342773
"rossler",3,1,61,3.69897000433602,5000,4,13,"raw",26,8,13,"weak/raw/m=2w/p=8",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,3.8271794987123e-05,0.200171200436179,0.199396217172724,0.200945938446555,0.200174912847159,0.000463273100506277,432.088357015338,0.00857097301575055,-0.0854479637853862,0.00857097477717737,-8.10885542439722e-10,7.25494736864657e-07,6.22163775360063e-06,4.29790639877319
"rossler",3,1,61,3.69897000433602,5000,4,13,"smoothed",13,4,6,"weak/smoothed/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,8.39656294760684e-05,0.20023130304025,0.199467459830078,0.201005055346959,0.200223439789493,0.000498607898296509,401.564917991783,0.0136340242750298,0.149390378266181,0.0136340346032059,1.2465071182338e-05,0.000369178233008221,0.00228298352738393,4.3302526473999
"rossler",3,1,61,3.69897000433602,5000,4,13,"smoothed",13,8,6,"weak/smoothed/m=1w/p=8",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,4.73765589846739e-05,0.200212375601551,0.199019475903396,0.201354854132072,0.200221857855399,0.00073111489647077,273.858266083632,0.0199977706724274,-0.250068355293206,0.0199977763953114,1.79645773783225e-08,1.05962806955672e-06,9.44694637788901e-06,3.85894322395325
"rossler",3,1,61,3.69897000433602,5000,4,13,"smoothed",26,4,13,"weak/smoothed/m=2w/p=4",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,5.21663459359881e-05,0.200168184509356,0.199602797109724,0.200759115136347,0.200174354016076,0.000348313057592731,574.696669138751,0.00643716042597781,0.321187190377727,0.0064371764671159,7.2235762096043e-07,1.89949379544085e-05,0.000106410095493448,5.31951284408569
"rossler",3,1,61,3.69897000433602,5000,4,13,"smoothed",26,8,13,"weak/smoothed/m=2w/p=8",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,3.96325458372896e-05,0.200185540341834,0.199406131343935,0.200900296366831,0.200174859182187,0.000463218331187519,432.139329782164,0.00856995972716987,-0.0851404670238464,0.0085699790987413,-8.10885542439722e-10,7.25494736864657e-07,6.22163775360063e-06,4.47455501556396
"rossler",3,2,61,3.69897000433602,5000,4,13,"smoothed",NA,NA,NA,"sg",5000,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,0.00031354156898189,0.199855732560298,0.198522428070089,0.201231732846263,0.199883151121693,0.000812108011708869,246.128776270894,0.054369679805283,0.692025789383369,0.0543696818080601,0.000143996612669947,0.00466057118963823,0.246864037601358,3.99112129211426
